,text,created_at,retweet_count,favorite_count,is_retweet
74,Starting tomorrow it's going to be #AmericaFirst! Thank you for a great morning Sarasota Florida!Watch here:… https://t.co/ig62Kjkkvl,2016-11-07 17:10:00,13940.0,36087.0,False
75,Just landed in North Carolina- heading to the J.S. Dorton Arena. See you all soon! Lets #MakeAmericaGreatAgain! https://t.co/EUo0keWX1Y,2016-11-07 19:30:00,14558.0,40976.0,False
76,On my way! https://t.co/6L2ILD6r8h,2016-11-07 19:31:00,8412.0,26336.0,False
77,I love you North Carolina- thank you for your amazing support! Get out and https://t.co/HfihPERFgZ tomorrow!Watch:… https://t.co/jZzfqUZNYh,2016-11-07 21:03:00,10789.0,31000.0,False
78,'Why Trump' https://t.co/RpwIYB7aOV,2016-11-07 21:32:00,7171.0,18057.0,False
79,'What I Like About Trump ... and Why You Need to Vote for Him'https://t.co/6rVuDUehZq,2016-11-07 21:35:00,9531.0,24003.0,False
80,'America must decide between failed policies or fresh perspective a corrupt system or an outsider'https://t.co/ll8QIW9SqW,2016-11-07 21:37:00,15907.0,37089.0,False
81,Hey Missouri let's defeat Crooked Hillary &amp; @koster4missouri! Koster supports Obamacare &amp; amnesty! Vote outsider Navy SEAL @EricGreitens!,2016-11-07 22:21:00,12409.0,36695.0,False
82,LIVE on #Periscope: Join me for a few minutes in Pennsylvania. Get out &amp; VOTE tomorrow. LETS #MAGA!! https://t.co/Ej0LmMK3YU,2016-11-07 23:28:00,10123.0,31207.0,False
83,Thank you Pennsylvania! Going to New Hampshire now and on to Michigan. Watch PA rally here: https://t.co/d29DLINGst… https://t.co/zcH9crFIKM,2016-11-08 00:08:00,9053.0,29404.0,False
84,Today in Florida I pledged to stand with the people of Cuba and Venezuela in their fight against oppression- cont: https://t.co/8eELqk2wUw,2016-11-08 00:16:00,13829.0,36687.0,False
85,Big news to share in New Hampshire tonight! Polls looking great! See you soon.,2016-11-08 00:17:00,13264.0,44128.0,False
86,Unbelievable evening in New Hampshire - THANK YOU! Flying to Grand Rapids Michigan now. Watch NH rally here:… https://t.co/hP88anrfgk,2016-11-08 03:43:00,9134.0,32240.0,False
89,Today we are going to win the great state of MICHIGAN and we are going to WIN back the White House! Thank you MI!… https://t.co/onRpEvzHrW,2016-11-08 06:42:00,17323.0,54396.0,False
90,TODAY WE MAKE AMERICA GREAT AGAIN!,2016-11-08 11:43:00,344806.0,573283.0,False
91,VOTE TODAY! Go to https://t.co/MXrAxYnTjY to find your polling location. We are going to Make America Great Again!… https://t.co/KPQ5EY9VwQ,2016-11-08 16:39:00,29314.0,67452.0,False
92,We need your vote. Go to the POLLS! Let's continue this MOVEMENT! Find your poll location: https://t.co/VMUdvi1tx1… https://t.co/zGOx74Ebhw,2016-11-08 18:03:00,23878.0,62105.0,False
93,#ElectionDay https://t.co/MXrAxYnTjY https://t.co/FZhOncih21,2016-11-08 18:23:00,25164.0,61186.0,False
94,I will be watching the election results from Trump Tower in Manhattan with my family and friends. Very exciting!,2016-11-08 21:18:00,24669.0,125385.0,False
95,"Just out according to @CNN: ""Utah officials report voting machine problems across entire country""",2016-11-08 21:28:00,21504.0,47353.0,False
96,Don't let up keep getting out to vote - this election is FAR FROM OVER! We are doing well but there is much time left. GO FLORIDA!,2016-11-08 21:31:00,35805.0,116929.0,False
97,Still time to #VoteTrump! #iVoted #ElectionNight https://t.co/UZtYAY1Ba6,2016-11-08 23:03:00,25257.0,65686.0,False
101,Watching the returns at 9:45pm. #ElectionNight #MAGA🇺🇸 https://t.co/HfuJeRZbod,2016-11-09 02:48:00,45335.0,190930.0,False
102,Such a beautiful and important evening! The forgotten man and woman will never be forgotten again. We will all come together as never before,2016-11-09 11:36:00,220796.0,633253.0,False
103,Happy 241st birthday to the U.S. Marine Corps! Thank you for your service!! https://t.co/Lz2dhrXzo4,2016-11-10 19:31:00,45576.0,169729.0,False
104,A fantastic day in D.C. Met with President Obama for first time. Really good meeting great chemistry. Melania liked Mrs. O a lot!,2016-11-11 02:10:00,37788.0,192638.0,False
105,Just had a very open and successful presidential election. Now professional protesters incited by the media are protesting. Very unfair!,2016-11-11 02:19:00,69498.0,231526.0,False
106,Love the fact that the small groups of protesters last night have passion for our great country. We will all come together and be proud!,2016-11-11 11:14:00,55954.0,221718.0,False
107,Busy day planned in New York. Will soon be making some very important decisions on the people who will be running our government!,2016-11-11 13:33:00,33324.0,178189.0,False
108,Today we express our deepest gratitude to all those who have served in our armed forces. #ThankAVet https://t.co/wPk7QWpK8Z,2016-11-11 15:26:00,47145.0,168933.0,False
109,This will prove to be a great time in the lives of ALL Americans. We will unite and we will win win win!,2016-11-12 15:05:00,53578.0,201692.0,False
110,"Wow the @nytimes is losing thousands of subscribers because of their very poor and highly inaccurate coverage of the ""Trump phenomena""",2016-11-13 14:16:00,34967.0,127171.0,False
111,The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me. I wonder if it will change - doubt it?,2016-11-13 14:43:00,22131.0,86992.0,False
112,Mitt Romney called to congratulate me on the win. Very nice!,2016-11-13 14:45:00,15452.0,110764.0,False
113,Jeb Bush George W and George H.W. all called to express their best wishes on the win. Very nice!,2016-11-13 15:23:00,18082.0,107489.0,False
114,Governor John Kasich of the GREAT GREAT GREAT State of Ohio called to congratulate me on the win. The people of Ohio were incredible!,2016-11-13 15:28:00,22618.0,124725.0,False
115,"The @nytimes states today that DJT believes ""more countries should acquire nuclear weapons."" How dishonest are they. I never said this!",2016-11-13 16:03:00,29308.0,93519.0,False
116,I will be interviewed on @60Minutes tonight after the NFL game - 7:00 P.M. Enjoy!,2016-11-13 16:33:00,16387.0,78073.0,False
117,The debates especially the second and third plus speeches and intensity of the large rallies plus OUR GREAT SUPPORTERS gave us the win!,2016-11-13 18:46:00,23410.0,113207.0,False
118,If the election were based on total popular vote I would have campaigned in  N.Y. Florida and California and won even bigger and more easily,2016-11-15 13:34:00,49623.0,179219.0,False
119,The Electoral College is actually genius in that it brings all states including the smaller ones into play. Campaigning is much different!,2016-11-15 13:40:00,39125.0,128083.0,False
120,Very organized process taking place as I decide on Cabinet and many other positions. I am the only one who knows who the finalists are!,2016-11-16 02:55:00,27544.0,119611.0,False
121,"I am not trying to get ""top level security clearance"" for my children. This was a typically false news story.",2016-11-16 11:28:00,31102.0,99921.0,False
122,The failing @nytimes story is so totally wrong on transition. It is going so smoothly. Also I have spoken to many foreign leaders.,2016-11-16 12:12:00,20825.0,77532.0,False
