\f0\fs24 \cf0 source,text,created_at,retweet_count,favorite_count,is_retweet,id_str\
Twitter for iPhone,RT @RepLeeZeldin: With this disgusting impeachment charade House Democrats have proven themselves guilty of Abuse of Power and Obstruction\'85,12/11/2019 14:09,8403,0,TRUE,1204765134033506305\
Twitter for iPhone,RT @DonaldJTrumpJr: Media Research Center Files FEC Complaint Against Bloomberg News | The Dan Bongino Show https://t.co/eRgl5CkYz6,12/11/2019 14:08,2989,0,TRUE,1204765009395560448\
Twitter for iPhone,RT @DonaldJTrumpJr: He's 100% right to think that. Does anyone actually believe Comey Strozk etc etc acted in good faith towards @realdon\'85,12/11/2019 14:08,8611,0,TRUE,1204764892139606017\
Twitter for iPhone,RT @kimguilfoyle: So much appreciation for the 10s of thousands of great Americans who show up rain or shine to support @realDonaldTrump. T\'85,12/11/2019 14:08,9358,0,TRUE,1204764802641473543\
Twitter for iPhone,RT @EricTrump: Such incredible love and support! #USAUSAUSA ,,,,,
\f1 \uc0\u55356 \u56826 \u55356 \u56824 \u55356 \u56826 \u55356 \u56824 \u55356 \u56826 \u55356 \u56824 ,,,,,,
\f0  https://t.co/1hh8DbcV7r,12/11/2019 13:36,5678,0,TRUE,1204756959859298306\,
Twitter for iPhone,RT @TeamTrump: Overflow crowd outside of the Giant Center in Hershey PA on this cold and rainy night! ,,,,,
\f1 \uc0\u55357 \u56384 \u55356 \u56826 \u55356 \u56824 ,,,,,,
\f0 #TrumpRallyHershey https://t.co\'85,12/11/2019 13:35,4050,0,TRUE,1204756583785410560\,
Twitter for iPhone,RT @CongressmanHice: .@realdonaldtrump never settles for the status quo &amp; #USMCA is no different. With the new trade deal @POTUS is keepi\'85,12/11/2019 13:34,3162,0,TRUE,1204756348430360577\
Twitter for iPhone,RT @CongressmanHice: How @HouseDemocrats run a kangaroo court: Ignore the rules refuse to recognize legitimate objections stream roll the\'85,12/11/2019 13:34,3399,0,TRUE,1204756234517319681\
Twitter for iPhone,RT @VP: Thanks to the leadership of President @realDonaldTrump America is leading in Space! https://t.co/gvwrmZERj9,12/11/2019 13:33,5194,0,TRUE,1204756099179659266\
Twitter for iPhone,RT @GOPChairwoman: While Democrats were pushing impeachment @realDonaldTrump was delivering results for Pennsylvania:*160K new jobs*bil\'85,12/11/2019 13:33,4610,0,TRUE,1204756059312861184\
Twitter for iPhone,RT @DanScavino: President @realDonaldTrump has arrived at the Giant Center in Hershey Pennsylvania for a MASSIVE #MAGARally with great Ame\'85,12/11/2019 13:29,5706,0,TRUE,1204754970513420288\
Twitter for iPhone,RT @Mike_Pence: Electric crowd here tonight in the Keystone State! Pennsylvania and American know that to #KeepAmericaGreat we need FOUR MO\'85,12/11/2019 13:28,2675,0,TRUE,1204754910958542849\
Twitter for iPhone,RT @DanScavino: .@POTUS @realDonaldTrump,,,,,
\f1 \uc0\u55357 \u56586 ,,,,,,
\f0 \'93America is thriving like never before \'97 and ladies and gentlemen of Pennsylvania: THE BEST IS Y\'85,12/11/2019 13:27,4242,0,TRUE,1204754547924754433\,
Twitter for iPhone,RT @GeraldoRivera: Polls in key swing states Michigan Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid\'85,12/11/2019 13:25,7145,0,TRUE,1204754130297851905\
Twitter for iPhone,RT @WhiteHouse: As a private citizen @realDonaldTrump saw that Americans were treated unfairly by NAFTA.He ran for office\'97and won\'97on a p\'85,12/11/2019 13:18,13974,0,TRUE,1204752201295564801\
Twitter Media Studio,https://t.co/ruQBK6gNLL,12/11/2019 3:07,10684,32484,FALSE,1204598465180905475\
Twitter for iPhone,After years of rebuilding OTHER NATIONS we are finally rebuilding OUR NATION. In everything we do we are putting AMERICA FIRST! #KAG2020 https://t.co/sS0Y01MJYd,12/11/2019 1:58,17805,66669,FALSE,1204581262591168518\
Twitter for iPhone,Day after day we are exposing the depravity dishonesty and sickness of the corrupt Washington establishment \'97 and with your help we are going to complete the mission and DRAIN THE SWAMP! #KAG2020 https://t.co/SM5hocqoNi,12/11/2019 1:55,17565,62059,FALSE,1204580389320306691\
Twitter for iPhone,THANK YOU PENNSYLVANIA! With your help your devotion and your drive we are going to keep on working we are going to keep on fighting and we are going to keep ON WINNING! We are ONE movement ONE people ONE family and ONE GLORIOUS NATION UNDER GOD! https://t.co/g64HD9yL9N,12/11/2019 1:47,26187,89591,FALSE,1204578501409554437\
Twitter for iPhone,RT @SecretarySonny: Very encouraged by today\'92s breakthrough on #USMCA \'96 the agreement is a big win for America especially for our farmers\'85,12/10/2019 23:45,4907,0,TRUE,1204547638244319232\
Twitter for iPhone,RT @MikeKellyPA: Promises made promises kept! USMCA is a big win &amp; will further boost America's economy.Thank you to @POTUS @realDonaldT\'85,12/10/2019 23:24,7774,0,TRUE,1204542464398417921\
Twitter for iPhone,RT @WaysandMeansGOP: Ways and Means Republicans @POTUS and @USTradeRep Amb. Lighthizer fought hard and delivered on their promise for an\'85,12/10/2019 23:22,5121,0,TRUE,1204541924666949634\
Twitter for iPhone,RT @RepArrington: After a year of needless delay by @SpeakerPelosi &amp; Democrat leadership we are finally ready to deliver a win for America\'85,12/10/2019 23:22,4427,0,TRUE,1204541906535043072\
Twitter for iPhone,RT @ChuckGrassley: Renegotiating NAFTA was a central campaign promise of Pres Trump and 2day he delivered a historic win for the American p\'85,12/10/2019 23:19,8039,0,TRUE,1204541066042413056\
